accession,completeness,contamination,qc_source,method_version
GCF_001067625.1,99.99,0.13,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001067885.1,99.7,0.16,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001068015.1,99.96,0.39,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001068045.1,99.94,0.26,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001068195.1,99.85,0.21,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001068215.1,99.97,0.06,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001267905.1,100.0,0.38,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001278015.1,100.0,0.58,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001296095.1,100.0,0.74,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001302645.1,100.0,0.96,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001308305.1,100.0,0.55,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001331925.2,100.0,0.47,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001368735.1,99.85,0.1,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001368775.1,100.0,0.49,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001436855.1,100.0,0.69,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001444495.1,100.0,0.55,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001484005.1,100.0,0.93,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001540925.1,100.0,0.58,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001540965.1,100.0,0.41,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001581895.1,100.0,0.41,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001590655.1,99.96,0.06,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001595615.1,100.0,0.18,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001596095.1,100.0,0.77,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001596195.1,100.0,1.0,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001597605.1,100.0,1.22,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001617525.2,100.0,0.68,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001619265.1,100.0,0.45,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001645615.1,99.94,0.27,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001656535.1,99.93,0.06,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_001656545.1,99.97,0.16,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_002847905.1,99.98,0.4,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_003545935.1,99.35,0.38,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_004211505.1,99.97,0.51,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_004211735.1,99.95,0.35,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_009362855.1,99.9,1.11,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_009734125.1,99.98,0.65,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_009913655.1,100.0,0.28,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_014830125.1,99.87,0.82,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_015377785.1,99.17,0.52,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_019583415.1,98.28,0.25,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600185.1,99.89,0.57,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600205.1,99.97,0.29,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600245.1,99.92,0.22,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600265.1,99.95,1.04,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600345.1,99.93,0.29,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600365.1,99.94,0.37,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600385.1,99.99,0.41,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600405.1,99.94,0.2,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600425.1,97.65,0.11,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600445.1,99.98,0.53,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600465.1,100.0,0.43,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600485.1,99.99,0.37,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600505.1,99.96,0.12,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600525.1,99.98,0.54,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600545.1,99.92,0.17,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600565.1,99.99,0.23,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600585.1,96.64,0.45,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600605.1,99.98,0.31,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600625.1,99.96,0.29,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_021600645.1,99.96,0.07,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
GCF_900636965.1,99.95,0.07,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
IAHAHI,99.75,0.59,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
Vahe,99.97,0.32,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
ZPZ,100.0,2.84,uniform CheckM2 on Prokka proteins,CheckM2_on_uniform_Prokka_proteins_v1
