species,accession,is_focal,contigs,size_bp,N50,GC_pct,CDS,qc_reason,qc_pass,completeness,contamination,qc_source,external_qc_available,external_qc_pass,qc_action
L. rhamnosus,GCF_001067885.1,False,192,2966367,28880,46.64,2732,,True,99.7,0.16,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001068015.1,False,319,3014883,23331,46.59,2832,contigs>300,False,99.96,0.39,uniform CheckM2 on Prokka proteins,True,True,retain_with_sensitivity
L. rhamnosus,GCF_001068045.1,False,167,3046339,39356,46.63,2832,,True,99.94,0.26,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001068195.1,False,212,3048598,32817,46.64,2833,,True,99.85,0.21,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001068215.1,False,145,2822292,39640,46.75,2598,,True,99.97,0.06,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001368735.1,False,62,3018284,2994737,46.71,2807,,True,99.85,0.1,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001590655.1,False,1,2903890,2903890,46.74,2669,,True,99.96,0.06,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001645615.1,False,72,3053014,89179,46.75,2908,,True,99.94,0.27,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001656535.1,False,83,2866028,67501,46.73,2695,,True,99.93,0.06,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_001656545.1,False,94,2933901,69217,46.63,2757,,True,99.97,0.16,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,GCF_900636965.1,False,1,2988387,2988387,46.76,2748,,True,99.95,0.07,uniform CheckM2 on Prokka proteins,True,True,retain
L. rhamnosus,Vahe,True,34,2834560,140059,46.69,2671,,True,99.97,0.32,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_000056065.1,False,1,1864998,1864998,49.72,1900,,True,99.76,1.15,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_002847905.1,False,79,2049233,50184,49.58,1971,,True,99.98,0.4,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_003545935.1,False,54,1742687,107079,49.81,1788,,True,99.35,0.38,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_004211505.1,False,108,2011423,33854,49.42,1916,,True,99.97,0.51,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_004211735.1,False,97,1962814,39740,49.55,1882,,True,99.95,0.35,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_009362855.1,False,73,1785290,60623,49.72,1816,,True,99.9,1.11,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_009734125.1,False,1,1853687,1853687,49.78,1857,,True,99.98,0.65,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_014830125.1,False,175,2022317,24736,49.6,1954,,True,99.87,0.82,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_015377785.1,False,1,1871250,1871250,49.72,1884,,True,99.17,0.52,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_019583415.1,False,63,1738505,57987,50.21,1718,,True,98.28,0.25,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600185.1,False,190,2001126,35790,49.53,1908,,True,99.89,0.57,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600205.1,False,220,1989005,30734,49.61,1882,,True,99.97,0.29,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600245.1,False,225,1963033,24577,49.57,1943,,True,99.92,0.22,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600265.1,False,101,1910940,107563,49.93,1801,,True,99.95,1.04,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600345.1,False,161,1971719,65463,49.67,1893,,True,99.93,0.29,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600365.1,False,103,2020830,103460,49.94,1896,,True,99.94,0.37,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600385.1,False,213,2099174,39062,49.49,1993,,True,99.99,0.41,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600405.1,False,284,2047504,23620,49.42,1912,,True,99.94,0.2,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600425.1,False,337,2008721,17144,49.42,1901,contigs>300;N50<20kb,False,97.65,0.11,uniform CheckM2 on Prokka proteins,True,True,retain_with_sensitivity
L. delbrueckii,GCF_021600445.1,False,186,2114543,36508,49.47,1973,,True,99.98,0.53,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600465.1,False,236,2050720,27937,49.32,1926,,True,100.0,0.43,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600485.1,False,247,2059962,27391,49.41,1918,,True,99.99,0.37,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600505.1,False,156,1924342,37325,49.5,1864,,True,99.96,0.12,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600525.1,False,241,2167229,30728,49.37,2035,,True,99.98,0.54,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600545.1,False,162,1991276,53266,49.73,1899,,True,99.92,0.17,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600565.1,False,173,1975407,43633,49.67,1904,,True,99.99,0.23,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600585.1,False,369,2061265,16448,49.29,1913,contigs>300;N50<20kb,False,96.64,0.45,uniform CheckM2 on Prokka proteins,True,True,retain_with_sensitivity
L. delbrueckii,GCF_021600605.1,False,218,2059099,32987,49.42,1924,,True,99.98,0.31,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600625.1,False,235,2067584,32977,49.31,1925,,True,99.96,0.29,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,GCF_021600645.1,False,275,2089772,25498,49.49,1970,,True,99.96,0.07,uniform CheckM2 on Prokka proteins,True,True,retain
L. delbrueckii,IAHAHI,True,43,1766423,87746,49.8,1870,,True,99.75,0.59,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000687495.1,False,48,3442875,1891636,44.29,3256,,True,100.0,1.61,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000731855.1,False,33,3324076,207479,44.32,3139,,True,100.0,0.65,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000743895.1,False,83,3194687,124908,44.54,2998,,True,100.0,0.91,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000764285.1,False,4,3313644,3257132,44.48,3090,,True,100.0,0.71,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000931425.2,False,3,3310674,3284260,44.42,3088,,True,100.0,0.29,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000956195.1,False,178,3237330,59762,44.37,3042,,True,100.0,0.92,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_000966475.1,False,52,3353072,256293,44.42,3224,,True,100.0,1.12,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001005695.1,False,174,3079349,49090,44.49,2937,,True,100.0,0.64,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001005805.1,False,11,3325806,2312345,44.42,3084,,True,100.0,0.39,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001010175.1,False,18,3330093,386336,44.37,3114,,True,100.0,1.16,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001267905.1,False,45,3216480,149697,44.5,3041,,True,100.0,0.38,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001278015.1,False,1,3237652,3237652,44.66,3029,,True,100.0,0.58,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001296095.1,False,1,3198337,3198337,44.66,2953,,True,100.0,0.74,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001302645.1,False,11,3405709,3067675,44.31,3365,,True,100.0,0.96,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001308305.1,False,2,3231771,1956412,44.5,3014,,True,100.0,0.55,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001331925.2,False,1,3141590,3141590,44.68,2931,,True,100.0,0.47,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001368775.1,False,67,3224773,92828,44.36,3045,,True,100.0,0.49,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001436855.1,False,90,3439800,263553,44.24,3256,,True,100.0,0.69,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001444495.1,False,14,3228096,857574,44.55,3022,,True,100.0,0.55,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001484005.1,False,3,3322458,3261418,44.47,3121,,True,100.0,0.93,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001540925.1,False,27,3298660,276804,44.43,3094,,True,100.0,0.58,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001540965.1,False,25,3240520,327607,44.44,3038,,True,100.0,0.41,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001581895.1,False,1,2952218,2952218,44.93,2786,,True,100.0,0.41,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001595615.1,False,171,3294478,42039,44.38,3127,,True,100.0,0.18,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001596095.1,False,1,3262611,3262611,44.48,3051,,True,100.0,0.77,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001596195.1,False,121,3603563,235913,43.99,3475,,True,100.0,1.0,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001597605.1,False,121,3615168,256152,43.98,3485,,True,100.0,1.22,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001617525.2,False,4,3274606,3254946,44.52,3057,,True,100.0,0.68,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_001619265.1,False,57,3183959,113845,44.53,3004,,True,100.0,0.45,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,GCF_009913655.1,False,1,3223643,3223643,44.6,2957,,True,100.0,0.28,uniform CheckM2 on Prokka proteins,True,True,retain
L. plantarum,ZPZ,True,70,3311088,153863,44.38,3208,,True,100.0,2.84,uniform CheckM2 on Prokka proteins,True,True,retain
