species,query_accession,reference_group,reference_accession,ANI,matched_fragments,total_fragments,query_fna_sha256,reference_fna_sha256,method_version
L. delbrueckii,GCF_004211505.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.3176,556,610,a0cf7797e1c2ddf232d51330ea60be682be7f470956aea74be7e07c0a558672b,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_004211505.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7488,524,610,a0cf7797e1c2ddf232d51330ea60be682be7f470956aea74be7e07c0a558672b,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_004211735.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.9681,515,605,32e9b7a2dfe5d9a662a48bdf26a67cfa61101449ca4e43a087a6ee6f4cbafbfe,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_004211735.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.2593,540,605,32e9b7a2dfe5d9a662a48bdf26a67cfa61101449ca4e43a087a6ee6f4cbafbfe,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_004211735.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7549,518,605,32e9b7a2dfe5d9a662a48bdf26a67cfa61101449ca4e43a087a6ee6f4cbafbfe,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009362855.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,99.0671,526,563,fdd68c0e049f4995154ef5be5c15fba2d65f95a5d32f5a54c4fb85f51b8c4543,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009362855.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,96.9256,504,563,fdd68c0e049f4995154ef5be5c15fba2d65f95a5d32f5a54c4fb85f51b8c4543,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009362855.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,96.8873,493,563,fdd68c0e049f4995154ef5be5c15fba2d65f95a5d32f5a54c4fb85f51b8c4543,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009734125.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.8437,571,617,547aa3050eacc59d3c6a79bb46a25d5d1a3361a8eb48702fd61e530ecd8bc325,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009734125.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.0463,542,617,547aa3050eacc59d3c6a79bb46a25d5d1a3361a8eb48702fd61e530ecd8bc325,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_009734125.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.1485,508,617,547aa3050eacc59d3c6a79bb46a25d5d1a3361a8eb48702fd61e530ecd8bc325,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_014830125.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0977,489,599,1046831e665ba5d1347c67bbf050039656416d22df9833bd650d992292f91aef,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_014830125.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8235,534,599,1046831e665ba5d1347c67bbf050039656416d22df9833bd650d992292f91aef,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_014830125.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,98.0038,519,599,1046831e665ba5d1347c67bbf050039656416d22df9833bd650d992292f91aef,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_015377785.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,99.2095,578,623,878a9fb5e4707be43c5cfbc6b6755803ecfdf6afd0a36b72427523fdd1945c19,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_015377785.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,96.8867,540,623,878a9fb5e4707be43c5cfbc6b6755803ecfdf6afd0a36b72427523fdd1945c19,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_015377785.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.0996,514,623,878a9fb5e4707be43c5cfbc6b6755803ecfdf6afd0a36b72427523fdd1945c19,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_019583415.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.8981,483,552,8059004ed51a493a9c992d5a9c06ff67009e4ff0b66ddbbd17f011f39f1e17cc,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_019583415.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.2046,518,552,8059004ed51a493a9c992d5a9c06ff67009e4ff0b66ddbbd17f011f39f1e17cc,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_019583415.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6962,514,552,8059004ed51a493a9c992d5a9c06ff67009e4ff0b66ddbbd17f011f39f1e17cc,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600185.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.831,520,604,64e595d9bf03c53a27284227bb4580bccf6ef4ce765d89fc8a4847ecf6d2d792,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600185.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9898,542,604,64e595d9bf03c53a27284227bb4580bccf6ef4ce765d89fc8a4847ecf6d2d792,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600185.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7737,526,604,64e595d9bf03c53a27284227bb4580bccf6ef4ce765d89fc8a4847ecf6d2d792,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600205.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.9998,509,591,f299d7b1908d8a4a50e957945c9135a0019d49f9f194860182fc4b711e956ebe,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600205.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8778,533,591,f299d7b1908d8a4a50e957945c9135a0019d49f9f194860182fc4b711e956ebe,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600205.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7837,517,591,f299d7b1908d8a4a50e957945c9135a0019d49f9f194860182fc4b711e956ebe,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600245.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.1455,518,577,cab9e3d0e488212849c0bfa0830fbe39c2095ebc1d6f13ca2a72dd60a81170e2,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600245.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8624,540,577,cab9e3d0e488212849c0bfa0830fbe39c2095ebc1d6f13ca2a72dd60a81170e2,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600245.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.8202,508,577,cab9e3d0e488212849c0bfa0830fbe39c2095ebc1d6f13ca2a72dd60a81170e2,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600265.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0943,504,607,cd627118b466ded6dc14087c73622e758fb20a5dcd90108307c63a32e2df35c0,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600265.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8942,530,607,cd627118b466ded6dc14087c73622e758fb20a5dcd90108307c63a32e2df35c0,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600265.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,98.3261,548,607,cd627118b466ded6dc14087c73622e758fb20a5dcd90108307c63a32e2df35c0,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600345.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0159,505,603,a81905397c18d1166b16db1980d55bb4fe57b06defbcdee5942966779a609fe4,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600345.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.085,535,603,a81905397c18d1166b16db1980d55bb4fe57b06defbcdee5942966779a609fe4,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600345.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.8282,530,603,a81905397c18d1166b16db1980d55bb4fe57b06defbcdee5942966779a609fe4,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600365.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0567,521,641,1a28cb914d95078fe7cd3e4d9add4bd77f8cd6084aff23ea30cd17ad3a628f2e,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600365.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.086,544,641,1a28cb914d95078fe7cd3e4d9add4bd77f8cd6084aff23ea30cd17ad3a628f2e,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600365.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6005,544,641,1a28cb914d95078fe7cd3e4d9add4bd77f8cd6084aff23ea30cd17ad3a628f2e,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600385.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.908,521,633,2e356e66a47fa6c00d434286aa91fa5a75d5d73905fafe512099a80b583e45e6,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600385.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9879,557,633,2e356e66a47fa6c00d434286aa91fa5a75d5d73905fafe512099a80b583e45e6,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600385.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6772,537,633,2e356e66a47fa6c00d434286aa91fa5a75d5d73905fafe512099a80b583e45e6,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600405.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0012,504,590,695d6ef575397690c2e15557c05ef82fc26ed69a00bd0bd44952c206094fdaeb,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600405.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.6928,540,590,695d6ef575397690c2e15557c05ef82fc26ed69a00bd0bd44952c206094fdaeb,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600405.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6962,514,590,695d6ef575397690c2e15557c05ef82fc26ed69a00bd0bd44952c206094fdaeb,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600425.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.9593,468,556,4858d5e577cc5efacadb89ed4e61c9696b1ed8a277b8c88b9a6f0ea77f9a2d1b,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600425.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.7134,497,556,4858d5e577cc5efacadb89ed4e61c9696b1ed8a277b8c88b9a6f0ea77f9a2d1b,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600425.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.5281,485,556,4858d5e577cc5efacadb89ed4e61c9696b1ed8a277b8c88b9a6f0ea77f9a2d1b,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600445.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.041,518,647,83c013c113104d095ce7c8d027114c64bcb5c694ab27bc03ccf3d6c4d2dbac33,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600445.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.4815,562,647,83c013c113104d095ce7c8d027114c64bcb5c694ab27bc03ccf3d6c4d2dbac33,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600445.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.4732,542,647,83c013c113104d095ce7c8d027114c64bcb5c694ab27bc03ccf3d6c4d2dbac33,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600465.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0062,511,604,2d49595f66ba316bca9a4812a78494a25ef3e4da4f7d72393513e0edc3f9f203,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600465.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.952,539,604,2d49595f66ba316bca9a4812a78494a25ef3e4da4f7d72393513e0edc3f9f203,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600465.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7602,525,604,2d49595f66ba316bca9a4812a78494a25ef3e4da4f7d72393513e0edc3f9f203,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600485.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.927,514,612,87fa4b884e668dc43d82628f3f6ca761338fd4ba3bd373bc9c0750ed57ed0f01,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600485.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9086,542,612,87fa4b884e668dc43d82628f3f6ca761338fd4ba3bd373bc9c0750ed57ed0f01,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600485.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6047,528,612,87fa4b884e668dc43d82628f3f6ca761338fd4ba3bd373bc9c0750ed57ed0f01,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600505.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.6803,507,583,e778ca2c2998d2e68eed4aa2c0ae4d0230c13cc43be978a0ef3c416a057c1cb4,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600505.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,96.4919,521,583,e778ca2c2998d2e68eed4aa2c0ae4d0230c13cc43be978a0ef3c416a057c1cb4,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600505.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,96.618,502,583,e778ca2c2998d2e68eed4aa2c0ae4d0230c13cc43be978a0ef3c416a057c1cb4,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600525.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.9948,513,642,7eb83d5dbd64963884cbe4579fcc0f8c08eec5c9b5bb4215a0c86e091d0656b1,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600525.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.4137,557,642,7eb83d5dbd64963884cbe4579fcc0f8c08eec5c9b5bb4215a0c86e091d0656b1,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600525.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.5043,545,642,7eb83d5dbd64963884cbe4579fcc0f8c08eec5c9b5bb4215a0c86e091d0656b1,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600545.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.0761,494,611,9c7378e763301250e25e004f96ebc494233701a6d56d374dddaf5c135bc7e10a,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600545.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.0317,534,611,9c7378e763301250e25e004f96ebc494233701a6d56d374dddaf5c135bc7e10a,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600545.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.8908,532,611,9c7378e763301250e25e004f96ebc494233701a6d56d374dddaf5c135bc7e10a,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600565.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,97.1227,518,598,e247136b47a94054c6ac0dde32d278a5a80591f550c26ae036fad7664e179495,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600565.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9526,549,598,e247136b47a94054c6ac0dde32d278a5a80591f550c26ae036fad7664e179495,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600565.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.7802,539,598,e247136b47a94054c6ac0dde32d278a5a80591f550c26ae036fad7664e179495,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600585.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.953,478,567,6114b5e96ab96ef826a4e21170500b3633231ba7d7cd7f99661a1a836fcb096e,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600585.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8948,499,567,6114b5e96ab96ef826a4e21170500b3633231ba7d7cd7f99661a1a836fcb096e,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600585.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6455,501,567,6114b5e96ab96ef826a4e21170500b3633231ba7d7cd7f99661a1a836fcb096e,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600605.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.8369,521,614,9dd1da962916d24f426ce9131a5ca6b7fd79ea7fb4002cdd78d99ce73d5bb76f,88925b0f6139c40e25c41df8846a63e5f1d0fa11de2ecc8270cbd510635e32d4,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600605.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8967,542,614,9dd1da962916d24f426ce9131a5ca6b7fd79ea7fb4002cdd78d99ce73d5bb76f,f1ff36c7a23be1620d88a9309dd4255d26c62569b1d5a5fae8f027a3d6f43a6b,nearest_three_fixed_refs_v1
L. delbrueckii,GCF_021600605.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.8256,535,614,9dd1da962916d24f426ce9131a5ca6b7fd79ea7fb4002cdd78d99ce73d5bb76f,c9b4f87768ad9cb9b0fddf36552d8629c09e8c912d445408f48ad29faec3cf7b,nearest_three_fixed_refs_v1
