panel,species,accession,is_focal,target,call,component_calls,evidence,rule
strict13,L. rhamnosus,GCF_000801045.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_000801045.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_000801045.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_000801045.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_000801045.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_000801045.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_000801045.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_000801045.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_000801045.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_000801045.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_000801045.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_000801045.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_000801045.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_000814485.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_000814485.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_000814485.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_000814485.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_000814485.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_000814485.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_000814485.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_000814485.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_000814485.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_000814485.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_000814485.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_000814485.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_000814485.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_000932035.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_000932035.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_000932035.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_000932035.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_000932035.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_000932035.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_000932035.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_000932035.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_000932035.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_000932035.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_000932035.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_000932035.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_000932035.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001005625.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001005625.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001005625.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001005625.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001005625.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001005625.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001005625.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001005625.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001005625.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001005625.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001005625.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001005625.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001005625.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001044025.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001044025.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001044025.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001044025.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001044025.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001044025.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001044025.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001044025.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001044025.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001044025.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001044025.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001044025.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001044025.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001044415.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001044415.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001044415.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001044415.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001044415.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001044415.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001044415.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001044415.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001044415.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001044415.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001044415.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001044415.1,False,UvrABC,,uvrA=1;uvrB=1;uvrC=NE,unresolved_component_evidence,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001044415.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001062885.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001062885.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001062885.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001062885.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001062885.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001062885.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001062885.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001062885.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001062885.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001062885.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001062885.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001062885.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001062885.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001062955.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001062955.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001062955.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001062955.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001062955.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001062955.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001062955.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001062955.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001062955.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001062955.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001062955.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001062955.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001062955.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001063655.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001063655.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001063655.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001063655.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001063655.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001063655.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001063655.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001063655.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001063655.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001063655.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001063655.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001063655.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001063655.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001064515.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001064515.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001064515.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001064515.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001064515.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001064515.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001064515.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001064515.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001064515.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001064515.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001064515.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001064515.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001064515.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001064785.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001064785.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001064785.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001064785.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001064785.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001064785.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001064785.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001064785.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001064785.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001064785.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001064785.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001064785.1,False,UvrABC,,uvrA=1;uvrB=1;uvrC=NE,unresolved_component_evidence,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001064785.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001065365.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001065365.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001065365.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001065365.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001065365.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001065365.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001065365.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001065365.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001065365.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001065365.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001065365.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001065365.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001065365.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001066715.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001066715.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001066715.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001066715.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001066715.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001066715.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001066715.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001066715.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001066715.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001066715.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001066715.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001066715.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001066715.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
strict13,L. rhamnosus,GCF_001066975.1,False,PerR,1.0,perR=1,annotation_sequence_concordant,Peroxide-stress regulator
strict13,L. rhamnosus,GCF_001066975.1,False,OhrR,1.0,ohrR=1,annotation_sequence_concordant,Organic-hydroperoxide regulator
strict13,L. rhamnosus,GCF_001066975.1,False,Catalase,0.0,catalase=0,annotation_sequence_concordant,Catalase
strict13,L. rhamnosus,GCF_001066975.1,False,Fur,0.0,fur=0,annotation_sequence_concordant,"Strict Fur, excluding Zur-like generic calls"
strict13,L. rhamnosus,GCF_001066975.1,False,Rex,1.0,rex=1,annotation_sequence_concordant,NADH/NAD+ redox regulator
strict13,L. rhamnosus,GCF_001066975.1,False,Spx,1.0,spx=1,annotation_sequence_concordant,Spx; competitive sequence call remains provisional
strict13,L. rhamnosus,GCF_001066975.1,False,SOD,0.0,sod=0,annotation_sequence_concordant,Canonical Mn/Fe superoxide dismutase
strict13,L. rhamnosus,GCF_001066975.1,False,Nox,1.0,noxE=1,annotation_sequence_concordant,Water-forming NADH oxidase; generic ndh excluded
strict13,L. rhamnosus,GCF_001066975.1,False,Glutathione_system,0.0,gshF=0;gshA=0;gshB=0,contains_annotation_only,Glutathione biosynthesis markers: gshF OR (gshA AND gshB)
strict13,L. rhamnosus,GCF_001066975.1,False,Thioredoxin_system,1.0,trxA=1;trxB=1,contains_annotation_only,trxA AND trxB
strict13,L. rhamnosus,GCF_001066975.1,False,RecA,1.0,recA=1,annotation_sequence_concordant,RecA
strict13,L. rhamnosus,GCF_001066975.1,False,UvrABC,1.0,uvrA=1;uvrB=1;uvrC=1,annotation_sequence_concordant,uvrA AND uvrB AND uvrC
strict13,L. rhamnosus,GCF_001066975.1,False,Mn_transport,1.0,mntH=1;mntA=1;mntB=1;mntC=1,contains_annotation_only,mntH OR (mntA AND mntB AND mntC)
