record_type,species,accession,query_class,query_accession,subject_locus,pident,alignment_length,query_length,subject_length,coverage,evalue,bitscore,normalized_bitscore,query_set_hash,method_version
hit,L. rhamnosus,GCF_000801045.1,Fur,P54574,P159FD3029_02702,30.37,135.0,149.0,146.0,90.60402684563758,4.3e-23,85.1,0.5711409395973154,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Fur,P54574,P159FD3029_01662,26.866,134.0,149.0,150.0,89.93288590604027,5.62e-12,56.6,0.37986577181208053,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Zur,P54479,P159FD3029_01662,37.5,136.0,145.0,150.0,93.79310344827586,2.96e-33,111.0,0.7655172413793103,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Zur,P54479,P159FD3029_02702,31.69,142.0,145.0,146.0,97.93103448275862,5.46e-19,74.7,0.5151724137931035,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,PerR,P71086,P159FD3029_02702,55.556,135.0,145.0,146.0,93.10344827586206,1.4e-55,167.0,1.1517241379310346,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,PerR,P71086,P159FD3029_01662,33.577,137.0,145.0,150.0,94.48275862068965,1.59e-21,81.3,0.5606896551724138,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Spx,O31602,P159FD3029_01845,68.702,131.0,131.0,132.0,100.0,5.66e-68,197.0,1.5038167938931297,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Spx,O31602,P159FD3029_01681,43.651,126.0,131.0,133.0,96.18320610687023,7.12e-37,119.0,0.9083969465648855,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Spx,O31602,P159FD3029_01443,34.247,73.0,131.0,76.0,55.725190839694655,2.02e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,MgsR,P54503,P159FD3029_01845,44.037,109.0,126.0,132.0,86.5079365079365,1.32e-34,113.0,0.8968253968253969,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,MgsR,P54503,P159FD3029_01681,30.476,105.0,126.0,133.0,83.33333333333333,3.64e-23,84.3,0.669047619047619,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,OhrR,O34777,P159FD3029_00141,39.706,136.0,147.0,151.0,92.51700680272108,4.23e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,OhrR,O34777,P159FD3029_01793,23.009,113.0,147.0,165.0,76.87074829931973,4.88e-08,46.2,0.3142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Rex,O05521,P159FD3029_00825,60.68,206.0,215.0,217.0,95.81395348837209,1.21e-90,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000801045.1,Rex,O05521,P159FD3029_02375,42.564,195.0,215.0,221.0,90.69767441860465,3.22e-50,159.0,0.7395348837209302,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_000801045.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Fur,P54574,P16F326D0F_02891,30.37,135.0,149.0,146.0,90.60402684563758,4.45e-23,85.1,0.5711409395973154,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Fur,P54574,P16F326D0F_02790,26.866,134.0,149.0,150.0,89.93288590604027,9.11e-12,55.8,0.374496644295302,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Zur,P54479,P16F326D0F_02790,37.5,136.0,145.0,150.0,93.79310344827586,4.78e-33,110.0,0.7586206896551724,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Zur,P54479,P16F326D0F_02891,31.69,142.0,145.0,146.0,97.93103448275862,5.64e-19,74.7,0.5151724137931035,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,PerR,P71086,P16F326D0F_02891,55.556,135.0,145.0,146.0,93.10344827586206,1.45e-55,167.0,1.1517241379310346,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,PerR,P71086,P16F326D0F_02790,33.577,137.0,145.0,150.0,94.48275862068965,2.75e-21,80.5,0.5551724137931034,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Spx,O31602,P16F326D0F_00191,68.702,131.0,131.0,132.0,100.0,5.85e-68,197.0,1.5038167938931297,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Spx,O31602,P16F326D0F_02897,44.444,126.0,131.0,133.0,96.18320610687023,1.74e-37,120.0,0.916030534351145,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Spx,O31602,P16F326D0F_01351,34.247,73.0,131.0,76.0,55.725190839694655,2.09e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,MgsR,P54503,P16F326D0F_00191,44.037,109.0,126.0,132.0,86.5079365079365,1.36e-34,113.0,0.8968253968253969,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,MgsR,P54503,P16F326D0F_02897,31.429,105.0,126.0,133.0,83.33333333333333,2.1e-23,84.7,0.6722222222222223,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,OhrR,O34777,P16F326D0F_00511,39.706,136.0,147.0,151.0,92.51700680272108,4.37e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,OhrR,O34777,P16F326D0F_02765,22.222,117.0,147.0,180.0,79.59183673469387,5.58e-08,46.2,0.3142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Rex,O05521,P16F326D0F_00852,60.68,206.0,215.0,217.0,95.81395348837209,6.79e-91,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000814485.1,Rex,O05521,P16F326D0F_02281,42.564,195.0,215.0,221.0,90.69767441860465,1.05e-50,160.0,0.7441860465116279,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_000814485.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Fur,P54574,P10D559847_02669,30.37,135.0,149.0,146.0,90.60402684563758,3.36e-23,85.5,0.5738255033557047,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Fur,P54574,P10D559847_01332,26.119,134.0,149.0,150.0,89.93288590604027,2.75e-11,54.7,0.36711409395973155,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Zur,P54479,P10D559847_01332,38.235,136.0,145.0,150.0,93.79310344827586,2.28e-33,111.0,0.7655172413793103,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Zur,P54479,P10D559847_02669,31.034,145.0,145.0,146.0,100.0,5.01e-19,74.7,0.5151724137931035,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,PerR,P71086,P10D559847_02669,55.556,135.0,145.0,146.0,93.10344827586206,1.26e-55,167.0,1.1517241379310346,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,PerR,P71086,P10D559847_01332,32.847,137.0,145.0,150.0,94.48275862068965,7.63e-21,79.3,0.5468965517241379,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Spx,O31602,P10D559847_00394,68.702,131.0,131.0,132.0,100.0,5.54e-68,197.0,1.5038167938931297,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Spx,O31602,P10D559847_01599,45.238,126.0,131.0,133.0,96.18320610687023,1.84e-38,123.0,0.9389312977099237,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Spx,O31602,P10D559847_00528,34.247,73.0,131.0,76.0,55.725190839694655,1.98e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,MgsR,P54503,P10D559847_00394,44.037,109.0,126.0,132.0,86.5079365079365,1.29e-34,113.0,0.8968253968253969,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,MgsR,P54503,P10D559847_01599,31.429,105.0,126.0,133.0,83.33333333333333,4.26e-24,86.7,0.6880952380952381,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,OhrR,O34777,P10D559847_00702,39.706,136.0,147.0,151.0,92.51700680272108,4.14e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,OhrR,O34777,P10D559847_02181,23.009,113.0,147.0,165.0,76.87074829931973,4.78e-08,46.2,0.3142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Rex,O05521,P10D559847_02220,60.68,206.0,215.0,217.0,95.81395348837209,1.19e-90,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_000932035.1,Rex,O05521,P10D559847_00835,41.262,206.0,215.0,221.0,95.81395348837209,1.37e-51,162.0,0.7534883720930232,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_000932035.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Fur,P54574,P1E1445BCF_01903,30.37,135.0,149.0,146.0,90.60402684563758,4.35e-23,85.1,0.5711409395973154,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Fur,P54574,P1E1445BCF_01106,26.866,134.0,149.0,150.0,89.93288590604027,8.9e-12,55.8,0.374496644295302,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Zur,P54479,P1E1445BCF_01106,37.5,136.0,145.0,150.0,93.79310344827586,4.67e-33,110.0,0.7586206896551724,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Zur,P54479,P1E1445BCF_01903,31.69,142.0,145.0,146.0,97.93103448275862,5.52e-19,74.7,0.5151724137931035,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,PerR,P71086,P1E1445BCF_01903,55.556,135.0,145.0,146.0,93.10344827586206,1.41e-55,167.0,1.1517241379310346,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,PerR,P71086,P1E1445BCF_01106,33.577,137.0,145.0,150.0,94.48275862068965,2.69e-21,80.5,0.5551724137931034,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Spx,O31602,P1E1445BCF_00930,67.939,131.0,131.0,132.0,100.0,6.1e-67,195.0,1.4885496183206106,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Spx,O31602,P1E1445BCF_01087,45.238,126.0,131.0,133.0,96.18320610687023,1.34e-38,123.0,0.9389312977099237,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Spx,O31602,P1E1445BCF_00664,34.247,73.0,131.0,76.0,55.725190839694655,2.05e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,MgsR,P54503,P1E1445BCF_00930,43.119,109.0,126.0,132.0,86.5079365079365,2.47e-33,110.0,0.873015873015873,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,MgsR,P54503,P1E1445BCF_01087,31.429,105.0,126.0,133.0,83.33333333333333,4.03e-24,86.7,0.6880952380952381,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,OhrR,O34777,P1E1445BCF_02100,39.706,136.0,147.0,151.0,92.51700680272108,4.27e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,OhrR,O34777,P1E1445BCF_00076,22.222,117.0,147.0,180.0,79.59183673469387,5.45e-08,46.2,0.3142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Rex,O05521,P1E1445BCF_00180,60.68,206.0,215.0,217.0,95.81395348837209,1.22e-90,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001005625.1,Rex,O05521,P1E1445BCF_01267,42.564,195.0,215.0,221.0,90.69767441860465,1.03e-50,160.0,0.7441860465116279,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_001005625.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Fur,P54574,P1282E20EA_01782,30.37,135.0,149.0,146.0,90.60402684563758,4.1e-23,85.1,0.5711409395973154,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Fur,P54574,P1282E20EA_01328,26.119,134.0,149.0,150.0,89.93288590604027,2.67e-11,54.7,0.36711409395973155,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Zur,P54479,P1282E20EA_01328,38.235,136.0,145.0,150.0,93.79310344827586,2.22e-33,111.0,0.7655172413793103,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Zur,P54479,P1282E20EA_01782,31.69,142.0,145.0,146.0,97.93103448275862,5.2e-19,74.7,0.5151724137931035,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,PerR,P71086,P1282E20EA_01782,55.556,135.0,145.0,146.0,93.10344827586206,1.33e-55,167.0,1.1517241379310346,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,PerR,P71086,P1282E20EA_01328,32.847,137.0,145.0,150.0,94.48275862068965,7.43e-21,79.3,0.5468965517241379,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Spx,O31602,P1282E20EA_00673,68.702,131.0,131.0,132.0,100.0,5.39e-68,197.0,1.5038167938931297,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Spx,O31602,P1282E20EA_00926,45.238,126.0,131.0,133.0,96.18320610687023,1.79e-38,123.0,0.9389312977099237,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Spx,O31602,P1282E20EA_01320,34.247,73.0,131.0,76.0,55.725190839694655,1.93e-09,47.4,0.3618320610687023,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,MgsR,P54503,P1282E20EA_00673,44.037,109.0,126.0,132.0,86.5079365079365,1.25e-34,113.0,0.8968253968253969,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,MgsR,P54503,P1282E20EA_00926,31.429,105.0,126.0,133.0,83.33333333333333,4.14e-24,86.7,0.6880952380952381,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,OhrR,O34777,P1282E20EA_01675,39.706,136.0,147.0,151.0,92.51700680272108,4.03e-31,105.0,0.7142857142857143,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Rex,O05521,P1282E20EA_00045,60.68,206.0,215.0,217.0,95.81395348837209,1.15e-90,262.0,1.2186046511627906,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044025.1,Rex,O05521,P1282E20EA_00699,41.262,206.0,215.0,221.0,95.81395348837209,1.7e-51,162.0,0.7534883720930232,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
status,L. rhamnosus,GCF_001044025.1,,,,,,,,,,,,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
hit,L. rhamnosus,GCF_001044415.1,Fur,P54574,P17861965B_02678,30.37,135.0,149.0,146.0,90.60402684563758,4.25e-23,85.1,0.5711409395973154,ad8389143129f15739e5c07ff32d0f06a029c5a21752047d37cf9e9ed8991fd1,reviewed_refs_competitive_blastp_context_v2
