species,gene_family,n_sequences,omega,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,n_genomes_present,n_multicopy_genomes,species_input_sha256,method_version,canonical_symbols,canonical_symbol_count,canonical_symbol,CI_width,possible_pairs,valid_pair_fraction,exclusion_reasons,base_eligible,selection_status
L. delbrueckii,recO,31,0.1968,0.198,0.1557,0.2431,465,16,449,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.0874,465.0,0.9655913978494624,,True,curated_primary
L. delbrueckii,recR,31,0.0833,0.0834,0.06,0.1048,465,25,440,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.044800000000000006,465.0,0.946236559139785,,True,curated_primary
L. delbrueckii,ruvA,31,0.1915,0.1913,0.1375,0.2592,465,126,339,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.12169999999999997,465.0,0.7290322580645161,,True,curated_primary
L. delbrueckii,ruvB_1,31,0.1171,0.1176,0.0802,0.1574,465,20,445,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.07720000000000002,465.0,0.956989247311828,,True,curated_primary
L. delbrueckii,ssb,31,0.1396,0.1389,0.0898,0.1962,465,45,420,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.10640000000000001,465.0,0.9032258064516129,,True,curated_primary
L. delbrueckii,trxB,31,0.0478,0.0469,0.0269,0.0734,465,12,453,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxb,1,trxb,0.04650000000000001,465.0,0.9741935483870968,,True,representative_not_shared_by_all_species
L. delbrueckii,uvrA,31,0.1087,0.1083,0.0953,0.1237,465,11,454,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.02840000000000001,465.0,0.9763440860215054,,True,curated_primary
L. delbrueckii,uvrB_1~~~uvrB_2,31,0.1558,0.1547,0.122,0.2037,465,8,457,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.0817,465.0,0.9827956989247312,,True,curated_primary
L. delbrueckii,uvrB_2,31,0.1412,0.1422,0.0986,0.1873,465,11,454,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.0887,465.0,0.9763440860215054,,True,eligible_alternative_not_selected
L. delbrueckii,uvrC,31,0.0744,0.0744,0.0613,0.0892,465,15,450,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrc,1,uvrc,0.0279,465.0,0.967741935483871,,True,representative_not_shared_by_all_species
L. delbrueckii,ytpP,31,0.1075,0.1066,0.0783,0.1534,465,87,378,31,0,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,ng86_singlecopy_genomebootstrap_v3_cohortbound,,0,,0.07510000000000001,465.0,0.8129032258064516,canonical_symbol_not_unique,False,excluded
L. plantarum,dnaK,31,0.1322,0.1312,0.0244,0.2387,465,78,387,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,dnak,1,dnak,0.2143,465.0,0.832258064516129,CI_width_above_0.15,False,excluded
L. plantarum,ligA,31,0.0314,0.0308,0.0092,0.0796,465,187,278,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.0704,465.0,0.5978494623655914,,True,curated_primary
L. plantarum,mutM,31,0.0403,0.0407,0.0233,0.0561,465,74,391,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,mutm,1,mutm,0.032799999999999996,465.0,0.8408602150537634,,True,representative_not_shared_by_all_species
L. plantarum,mutS,31,0.0308,0.0308,0.0135,0.051,465,51,414,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.0375,465.0,0.8903225806451613,,True,curated_primary
L. plantarum,mutS_2,10,0.1156,0.1228,0.0,0.2868,45,9,36,10,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.2868,45.0,0.8,requires_28_to_31_sequences;fewer_than_100_valid_pairs;CI_width_above_0.15,False,excluded
L. plantarum,nox_2~~~nox_1,31,0.1003,0.0985,0.0481,0.159,465,98,367,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.1109,465.0,0.789247311827957,,True,eligible_alternative_not_selected
L. plantarum,nox_2~~~nox_4,31,0.0786,0.0785,0.0728,0.098,465,35,430,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.0252,465.0,0.9247311827956989,,True,representative_not_shared_by_all_species
L. plantarum,nox_3,31,0.0835,0.0841,0.0456,0.1362,465,102,363,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.09059999999999999,465.0,0.7806451612903226,,True,eligible_alternative_not_selected
L. plantarum,nth_2,31,0.029,0.0281,0.0052,0.0642,465,87,378,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,nth,1,nth,0.059,465.0,0.8129032258064516,,True,representative_not_shared_by_all_species
L. plantarum,nth_2~~~nth_1,31,0.0917,0.0909,0.0599,0.1333,465,149,316,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,nth,1,nth,0.07339999999999999,465.0,0.6795698924731183,,True,eligible_alternative_not_selected
L. plantarum,radA,31,0.087,0.0825,0.0065,0.1578,465,94,371,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,rada,1,rada,0.1513,465.0,0.7978494623655914,CI_width_above_0.15,False,excluded
L. plantarum,recA,31,0.0684,0.0648,0.0,0.168,465,173,292,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,reca,1,reca,0.168,465.0,0.6279569892473118,CI_width_above_0.15,False,excluded
L. plantarum,recN,31,0.0298,0.0297,0.0254,0.034,465,53,412,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.008600000000000003,465.0,0.886021505376344,,True,curated_primary
L. plantarum,recO,31,0.0627,0.0635,0.0324,0.1016,465,72,393,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.0692,465.0,0.8451612903225807,,True,curated_primary
L. plantarum,recR,31,0.0,0.0,0.0,0.0,465,45,420,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.0,465.0,0.9032258064516129,,True,curated_primary
L. plantarum,ruvA,31,0.0456,0.0437,0.0,0.1054,465,179,286,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.1054,465.0,0.6150537634408603,,True,curated_primary
L. plantarum,ruvB,31,0.019,0.018,0.0,0.0383,465,95,370,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.0383,465.0,0.7956989247311828,,True,eligible_alternative_not_selected
L. plantarum,ruvB_1,31,0.061,0.061,0.0381,0.0912,465,34,431,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.0531,465.0,0.9268817204301075,,True,curated_primary
L. plantarum,ssbA_1~~~ssb~~~ssbA_2,4,0.119,0.119,0.0738,0.3439,6,0,6,4,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.2701,6.0,1.0,requires_28_to_31_sequences;fewer_than_100_valid_pairs;CI_width_above_0.15,False,excluded
L. plantarum,ssbA_2~~~ssbA,31,0.078,0.078,0.0449,0.0963,465,285,180,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.051399999999999994,465.0,0.3870967741935484,,True,curated_primary
L. plantarum,trxA_1,31,0.075,0.0762,0.0428,0.1037,465,306,159,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxa,1,trxa,0.0609,465.0,0.3419354838709677,,True,eligible_alternative_not_selected
L. plantarum,trxA_2~~~trxA_3,31,0.1081,0.1081,0.0757,0.1508,465,85,380,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxa,1,trxa,0.07509999999999999,465.0,0.8172043010752689,,True,representative_not_shared_by_all_species
L. plantarum,trxA_3,31,0.0101,0.0102,0.0,0.0328,465,224,241,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxa,1,trxa,0.0328,465.0,0.5182795698924731,,True,eligible_alternative_not_selected
L. plantarum,trxB,31,0.0378,0.0363,0.0041,0.0719,465,143,322,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxb,1,trxb,0.0678,465.0,0.6924731182795699,,True,representative_not_shared_by_all_species
L. plantarum,uvrA_1,31,0.0145,0.014,0.0039,0.0253,465,28,437,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.0214,465.0,0.9397849462365592,,True,curated_primary
L. plantarum,uvrA_5,31,0.1272,0.1267,0.0949,0.1769,465,33,432,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.082,465.0,0.9290322580645162,,True,eligible_alternative_not_selected
L. plantarum,uvrB,31,0.006,0.0059,0.0,0.0134,465,22,443,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.0134,465.0,0.9526881720430107,,True,curated_primary
L. plantarum,uvrC,31,0.0093,0.0093,0.0055,0.014,465,62,403,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrc,1,uvrc,0.0085,465.0,0.8666666666666667,,True,representative_not_shared_by_all_species
L. plantarum,ytpP,31,0.0983,0.0977,0.0437,0.1603,465,235,230,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound,,0,,0.1166,465.0,0.4946236559139785,canonical_symbol_not_unique,False,excluded
L. rhamnosus,dnaK,31,0.0041,0.004,0.0,0.0089,465,69,396,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,dnak,1,dnak,0.0089,465.0,0.8516129032258064,,True,representative_not_shared_by_all_species
L. rhamnosus,group_1158,10,0.2381,0.2372,0.2093,0.2971,45,12,33,10,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,,0,,0.08779999999999996,45.0,0.7333333333333333,canonical_symbol_not_unique;requires_28_to_31_sequences;fewer_than_100_valid_pairs,False,excluded
L. rhamnosus,group_1844,5,0.0982,0.0982,0.0794,0.1612,10,1,9,5,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,,0,,0.08180000000000001,10.0,0.9,canonical_symbol_not_unique;requires_28_to_31_sequences;fewer_than_100_valid_pairs,False,excluded
L. rhamnosus,ligA_1~~~ligA_2,16,0.2695,0.2606,0.1321,0.4777,120,25,95,16,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.3456,120.0,0.7916666666666666,requires_28_to_31_sequences;fewer_than_100_valid_pairs;CI_width_above_0.15,False,excluded
L. rhamnosus,ligA~~~ligA_1,31,0.0257,0.0257,0.0223,0.0294,465,99,366,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,liga,1,liga,0.007099999999999999,465.0,0.7870967741935484,,True,curated_primary
L. rhamnosus,mutL,31,0.0704,0.0711,0.0529,0.0853,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,mutl,1,mutl,0.0324,465.0,0.8709677419354839,,True,representative_not_shared_by_all_species
L. rhamnosus,mutS_2,31,0.0022,0.0022,0.0008,0.0035,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,muts,1,muts,0.0027,465.0,0.8709677419354839,,True,curated_primary
L. rhamnosus,nox_2,31,0.0438,0.0436,0.0299,0.0603,465,117,348,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.0304,465.0,0.7483870967741936,,True,eligible_alternative_not_selected
L. rhamnosus,nox_2~~~nox_1,19,0.045,0.045,0.026,0.0694,171,59,112,19,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.04340000000000001,171.0,0.6549707602339181,requires_28_to_31_sequences,False,excluded
L. rhamnosus,nox_3,31,0.0418,0.0422,0.0284,0.0563,465,110,355,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,nox,1,nox,0.0279,465.0,0.7634408602150538,,True,representative_not_shared_by_all_species
L. rhamnosus,nth~~~nth_1,31,0.0878,0.0876,0.0783,0.1005,465,107,358,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,nth,1,nth,0.02220000000000001,465.0,0.7698924731182796,,True,eligible_alternative_not_selected
L. rhamnosus,nth~~~nth_2,31,0.051,0.0514,0.0403,0.0637,465,106,359,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,nth,1,nth,0.023400000000000004,465.0,0.7720430107526882,,True,representative_not_shared_by_all_species
L. rhamnosus,polA,31,0.0223,0.0223,0.0184,0.0261,465,56,409,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,pola,1,pola,0.007700000000000002,465.0,0.8795698924731182,,True,representative_not_shared_by_all_species
L. rhamnosus,radA,31,0.0032,0.0031,0.0012,0.0052,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,rada,1,rada,0.004,465.0,0.8709677419354839,,True,representative_not_shared_by_all_species
L. rhamnosus,recA_1,31,0.031,0.0312,0.0254,0.0362,465,49,416,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,reca,1,reca,0.010800000000000004,465.0,0.8946236559139785,,True,representative_not_shared_by_all_species
L. rhamnosus,recN,31,0.0289,0.0291,0.024,0.0348,465,63,402,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,recn,1,recn,0.010799999999999997,465.0,0.864516129032258,,True,curated_primary
L. rhamnosus,recO,31,0.0738,0.0737,0.0602,0.0903,465,94,371,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,reco,1,reco,0.03010000000000001,465.0,0.7978494623655914,,True,curated_primary
L. rhamnosus,recR,31,0.0425,0.0431,0.0143,0.085,465,153,312,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,recr,1,recr,0.07070000000000001,465.0,0.6709677419354839,,True,curated_primary
L. rhamnosus,ruvA,31,0.0058,0.0057,0.0,0.0181,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruva,1,ruva,0.0181,465.0,0.7440860215053764,,True,curated_primary
L. rhamnosus,ruvB_2,31,0.0062,0.0061,0.0035,0.0092,465,119,346,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ruvb,1,ruvb,0.0057,465.0,0.7440860215053764,,True,curated_primary
L. rhamnosus,ssbA,31,0.0405,0.0404,0.0303,0.0549,465,102,363,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.024599999999999997,465.0,0.7806451612903226,,True,eligible_alternative_not_selected
L. rhamnosus,ssb_1~~~ssb_2,31,0.063,0.0624,0.0399,0.0885,465,97,368,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,ssb,1,ssb,0.0486,465.0,0.7913978494623656,,True,curated_primary
L. rhamnosus,trxA_1,31,0.0,0.0,0.0,0.0,465,435,30,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxa,1,trxa,0.0,465.0,0.06451612903225806,fewer_than_100_valid_pairs;valid_pair_fraction_below_0.25,False,excluded
L. rhamnosus,trxA_2,31,0.0995,0.1004,0.0747,0.1353,465,130,335,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,trxa,1,trxa,0.0606,465.0,0.7204301075268817,,True,representative_not_shared_by_all_species
L. rhamnosus,uvrA_1,31,0.0178,0.0178,0.0146,0.021,465,98,367,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.006400000000000001,465.0,0.789247311827957,,True,curated_primary
L. rhamnosus,uvrA_1~~~uvrA_3,31,0.0514,0.0515,0.0443,0.0582,465,99,366,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvra,1,uvra,0.013900000000000003,465.0,0.7870967741935484,,True,eligible_alternative_not_selected
L. rhamnosus,uvrB,31,0.003,0.003,0.0008,0.0058,465,93,372,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,uvrb,1,uvrb,0.004999999999999999,465.0,0.8,,True,curated_primary
L. rhamnosus,ytpP,31,0.0,0.0,0.0,0.0,465,184,281,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound,,0,,0.0,465.0,0.6043010752688172,canonical_symbol_not_unique,False,excluded
