species,accession,locus_tag,gene_symbol,cds_length_bp,length_mod3,non_triplet_length,internal_stop_count,has_internal_stop,canonical_start,terminal_stop
L. rhamnosus,GCF_001044025.1,P1282E20EA_01669,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_01670,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_01842,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_01957,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_02244,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001044025.1,P1282E20EA_02756,ssb,438,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00215,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00303,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00329,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00331,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00541,muts,879,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00650,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00651,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00823,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_00924,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_01307,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_01308,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_01626,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_01773,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_02201,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_02302,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001044415.1,P17861965B_02692,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00134,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00136,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00163,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00177,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00219,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00389,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00390,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00598,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00730,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00813,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00902,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_00903,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_01254,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_02571,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001062885.1,P179610789_02593,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_00299,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_00315,ssb,438,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_00442,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_00443,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_00649,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01120,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01136,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01471,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01473,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01557,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01629,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_01877,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_02367,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_02723,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001062955.1,P194D76FC1_02724,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_00031,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_00032,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_00476,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_00608,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_00691,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_01823,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_01883,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_01885,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_01911,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02037,ruvb,2559,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02103,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02261,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02443,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02706,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02801,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001063655.1,P10A93D905_02802,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_00073,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_00074,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_00418,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_00685,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_00810,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01205,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01207,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01236,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01403,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01582,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01778,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01821,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_01822,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_02160,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001064515.1,P1DA4CE057_02321,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00134,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00207,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00407,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00408,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00794,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_00822,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01040,ssb,438,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01130,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01131,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01239,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01241,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01740,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_01795,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_02241,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001064785.1,P1DBA768DD_02421,ssb,384,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_00172,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_00173,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_00405,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_00447,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_00703,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01030,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01031,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01123,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01295,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01297,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_01323,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_02016,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_02427,ruvb,2559,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_02567,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001065365.1,P1A53E6462_02725,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00017,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00152,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00357,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00359,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00364,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_00954,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01238,ssb,384,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01266,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01267,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01565,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01566,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_01652,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_02411,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_02555,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001066715.1,P1533AFABF_02647,ruvb,2559,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00022,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00134,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00150,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00277,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00536,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00562,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00564,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_00605,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_01127,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_01128,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_01236,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_01237,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_02127,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_02630,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001066975.1,P1D59ECC33_02752,ssb,384,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_00443,uvra,402,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_00447,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_00492,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_00895,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01006,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01008,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01092,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01705,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01739,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01740,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_01770,ssb,384,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_02334,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_02335,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_02505,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001067025.1,P15A3E6823_02692,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00344,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00608,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00732,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00793,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00794,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_00825,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_01046,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_01249,ssb,384,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_01558,ruvb,2559,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_01624,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_02197,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_02198,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_02388,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_02390,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001067215.1,P1601BE6BB_02683,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_00104,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_00352,uvra,2529,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_00417,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_00851,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01081,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01456,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01457,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01624,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01751,uvrb,2016,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_01752,uvra,2895,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_02291,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_02380,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_02382,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_02546,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001067335.1,P1BE2BE006_02755,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_00066,reco,816,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_00615,recn,1704,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_00717,liga,2025,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_00974,ssb,432,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01028,uvra,2274,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01117,muts,2583,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01277,ruvb,1047,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01278,ruva,597,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01481,muts,1677,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_01598,ssb,486,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_02138,ruvb,1698,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_02140,recr,600,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_02152,liga,285,0,False,0,False,True,True
L. rhamnosus,GCF_001067625.1,P147A27C4F_02464,uvrb,2016,0,False,0,False,True,True
