species,tip_name,accession,is_focal,target,present,panel
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_000801045.1,GCF_000801045.1,False,Mn_transport,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,PerR,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,OhrR,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,Catalase,0.0,strict13
L. rhamnosus,Vahe,Vahe,True,Fur,0.0,strict13
L. rhamnosus,Vahe,Vahe,True,Rex,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,Spx,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,SOD,0.0,strict13
L. rhamnosus,Vahe,Vahe,True,Nox,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,Glutathione_system,0.0,strict13
L. rhamnosus,Vahe,Vahe,True,Thioredoxin_system,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,RecA,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,UvrABC,1.0,strict13
L. rhamnosus,Vahe,Vahe,True,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001067625.1,GCF_001067625.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001064515.1,GCF_001064515.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001067335.1,GCF_001067335.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001067025.1,GCF_001067025.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001066975.1,GCF_001066975.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_000932035.1,GCF_000932035.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001068215.1,GCF_001068215.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001044025.1,GCF_001044025.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Spx,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,SOD,0.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Nox,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Glutathione_system,0.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Thioredoxin_system,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,RecA,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,UvrABC,1.0,strict13
L. rhamnosus,GCF_001068015.1,GCF_001068015.1,False,Mn_transport,1.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,PerR,1.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,OhrR,1.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,Catalase,0.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,Fur,0.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,Rex,1.0,strict13
L. rhamnosus,GCF_001656545.1,GCF_001656545.1,False,Spx,1.0,strict13
