species,cluster,accession,representative,cluster_size,clustering_method,representative_method
L. rhamnosus,0,GCF_000743075.1,GCF_000743075.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,6,GCF_009734125.1,GCF_009734125.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,7,GCF_014830125.1,GCF_014830125.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,8,GCF_019583415.1,GCF_019583415.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,9,GCF_021600185.1,GCF_021600185.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,10,GCF_021600205.1,GCF_021600205.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,11,GCF_021600245.1,GCF_021600245.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,12,GCF_021600265.1,GCF_021600265.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,13,GCF_021600345.1,GCF_021600345.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,14,GCF_021600365.1,GCF_021600365.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,15,GCF_021600405.1,GCF_021600405.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,16,GCF_021600425.1,GCF_021600425.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,17,GCF_021600445.1,GCF_021600445.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,17,GCF_021600525.1,GCF_021600445.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,18,GCF_021600465.1,GCF_021600465.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,19,GCF_021600485.1,GCF_021600485.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,20,GCF_021600505.1,GCF_021600505.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,21,GCF_021600545.1,GCF_021600545.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,22,GCF_021600565.1,GCF_021600565.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,23,GCF_021600585.1,GCF_021600605.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,23,GCF_021600605.1,GCF_021600605.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,23,GCF_021600625.1,GCF_021600605.1,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,24,GCF_021600645.1,GCF_021600645.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. delbrueckii,25,IAHAHI,IAHAHI,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,0,GCF_000687495.1,GCF_000687495.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,1,GCF_000731855.1,GCF_000731855.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,2,GCF_000743895.1,GCF_000743895.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_000764285.1,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_001436855.1,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_001444495.1,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_001484005.1,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_001617525.2,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,3,GCF_001619265.1,GCF_001619265.1,6,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,4,GCF_000931425.2,GCF_000931425.2,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,4,GCF_001005805.1,GCF_000931425.2,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,5,GCF_000956195.1,GCF_001581895.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,5,GCF_001581895.1,GCF_001581895.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,6,GCF_000966475.1,GCF_000966475.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,7,GCF_001005695.1,GCF_001005695.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,8,GCF_001010175.1,GCF_001596095.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,8,GCF_001596095.1,GCF_001596095.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,9,GCF_001267905.1,GCF_001267905.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,10,GCF_001278015.1,GCF_001278015.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,11,GCF_001296095.1,GCF_001296095.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,12,GCF_001302645.1,GCF_001302645.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,13,GCF_001308305.1,GCF_001331925.2,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,13,GCF_001331925.2,GCF_001331925.2,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,13,GCF_001540925.1,GCF_001331925.2,3,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,14,GCF_001368775.1,GCF_001368775.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,15,GCF_001540965.1,GCF_001540965.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,16,GCF_001595615.1,GCF_001595615.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,17,GCF_001596195.1,GCF_001596195.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,17,GCF_001597605.1,GCF_001596195.1,2,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,18,GCF_009913655.1,GCF_009913655.1,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
L. plantarum,19,ZPZ,ZPZ,1,single-linkage connected components at 99.5% ANI,CheckM2 completeness desc; contamination asc; N50 desc; contigs asc; accession asc
