species,accession,nearest_fixed_reference_group,nearest_fixed_reference_accession,best_ANI,second_fixed_reference_group,second_ANI,ANI_margin_pp,interpretation,cluster,representative,is_ANI_cluster_representative
L. delbrueckii,GCF_021600385.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9879,subsp. delbrueckii (DSM 20074 lineage),97.6772,0.3106999999999971,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",1,GCF_021600385.1,True
L. delbrueckii,GCF_021600405.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.6962,subsp. lactis (DSM 20072 lineage),97.6928,0.0033999999999991815,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",15,GCF_021600405.1,True
L. delbrueckii,GCF_021600425.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.7134,subsp. delbrueckii (DSM 20074 lineage),97.5281,0.18529999999999802,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",16,GCF_021600425.1,True
L. delbrueckii,GCF_021600445.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.4815,subsp. delbrueckii (DSM 20074 lineage),97.4732,0.008299999999991314,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",17,GCF_021600445.1,True
L. delbrueckii,GCF_021600465.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.952,subsp. delbrueckii (DSM 20074 lineage),97.7602,0.19180000000000064,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",18,GCF_021600465.1,True
L. delbrueckii,GCF_021600485.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9086,subsp. delbrueckii (DSM 20074 lineage),97.6047,0.30390000000001294,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",19,GCF_021600485.1,True
L. delbrueckii,GCF_021600505.1,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,96.6803,subsp. delbrueckii (DSM 20074 lineage),96.618,0.06230000000000757,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",20,GCF_021600505.1,True
L. delbrueckii,GCF_021600525.1,subsp. delbrueckii (DSM 20074 lineage),GCF_006740305.1,97.5043,subsp. lactis (DSM 20072 lineage),97.4137,0.0905999999999949,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",17,GCF_021600445.1,False
L. delbrueckii,GCF_021600545.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,98.0317,subsp. delbrueckii (DSM 20074 lineage),97.8908,0.14090000000000202,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",21,GCF_021600545.1,True
L. delbrueckii,GCF_021600565.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.9526,subsp. delbrueckii (DSM 20074 lineage),97.7802,0.17240000000001032,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",22,GCF_021600565.1,True
L. delbrueckii,GCF_021600585.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8948,subsp. delbrueckii (DSM 20074 lineage),97.6455,0.24930000000000518,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",23,GCF_021600605.1,False
L. delbrueckii,GCF_021600605.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8967,subsp. delbrueckii (DSM 20074 lineage),97.8256,0.07110000000000127,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",23,GCF_021600605.1,True
L. delbrueckii,GCF_021600625.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.801,subsp. delbrueckii (DSM 20074 lineage),97.7555,0.04550000000000409,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",23,GCF_021600605.1,False
L. delbrueckii,GCF_021600645.1,subsp. lactis (DSM 20072 lineage),GCF_002285775.1,97.8913,subsp. delbrueckii (DSM 20074 lineage),97.7711,0.12019999999999698,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",24,GCF_021600645.1,True
L. delbrueckii,IAHAHI,"subsp. bulgaricus (ATCC 11842, type)",GCF_000056065.1,98.9455,subsp. delbrueckii (DSM 20074 lineage),96.9635,1.9819999999999993,"nearest of three fixed references; descriptive, not a universal formal subspecies threshold",25,IAHAHI,True
