species,accession,is_focal,target,query_sha256,pident,coverage,evalue,bitscore,present,method_version
L. rhamnosus,GCF_000801045.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,21.6,94.1,1.66e-07,45.1,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000801045.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.63e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,3.06e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.6,100.0,1.7e-133,410.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.12e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,1.11e-92,298.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,99.8,100.0,0.0,896.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,72.1,99.3,0.0,1065.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1367.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,99.8,100.0,0.0,1208.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.31e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,4.22e-07,43.9,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000814485.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,98.6,100.0,8.27e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.91e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.2,99.5,9.82e-133,408.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.07e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,49.8,89.6,8.46e-92,295.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,100.0,100.0,0.0,897.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.9,99.3,0.0,1059.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1368.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.25e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,5.35e-08,46.6,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_000932035.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.47e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.99e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.6,100.0,1.67e-133,410.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,6.2e-138,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,1.09e-92,298.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,99.8,100.0,0.0,896.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,72.1,99.3,0.0,1065.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1367.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,43.7,94.0,1.52e-31,114.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,9.53e-08,45.8,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001005625.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.2e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.86e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.6,99.5,3.73e-133,409.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.57e-137,429.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,49.3,90.6,7.1e-92,293.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,99.8,100.0,0.0,895.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,72.1,99.3,0.0,1063.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1368.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.22e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,9.09e-08,45.8,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044025.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.4e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.95e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,97.7,100.0,1.44e-132,408.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.08e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.4,90.6,1.19e-92,297.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,100.0,100.0,0.0,897.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.9,99.3,0.0,1060.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1367.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,58.5,0.0,683.0,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.06e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,22.5,94.1,9.25e-08,45.8,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001044415.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,6.64e-87,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,3.06e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.2,100.0,4.72e-133,409.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.1e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,2.21e-92,296.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,100.0,100.0,0.0,897.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.7,99.3,0.0,1056.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,99.9,100.0,0.0,1368.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.31e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,21.6,94.1,1.7e-07,45.1,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062885.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,99.3,100.0,7.92e-88,273.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,2.96e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.2,100.0,6.28e-136,409.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,1.01e-137,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,1.51e-92,297.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,100.0,100.0,0.0,897.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,71.7,99.3,0.0,1056.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,99.9,100.0,0.0,1367.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.24e-32,117.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,MgsR,3f9152ce3c4d05b93bcfbcd9968de0bd1b286a653cbfb49fe6c7a6b5b9c4da61,21.6,94.1,1.64e-07,45.1,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001062955.1,0,SOD,43b2482586b259b2094193668820b0e2bb48c0b143f24850c45438bea0ec8a30,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,PerR,8b73744d28b23856a888a836fd88bb6452ffb6a653a9aabeba0ddaa87163b59e,100.0,100.0,2.42e-87,275.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,OhrR,a8c02a2a7527017769dfb24fc5e536ef983c8fa5fc340c4a1ca2074c042b924a,28.9,97.3,3.18e-17,74.3,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Catalase,00de8f6e7f0bdd780f17ea79cfa1eaaf60798fe947a8078a9dfdcb607a5458d2,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Fur,,,,,,0,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Rex,b7b8248dc4b68951cd31396901a7201544fe9d4a7c82b64968cc3cd1a7ae17d8,98.6,100.0,1.78e-133,410.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,RecA,38695d4d1e9418e3bf4ace59f20c27f83ddbd49933aabbe417390bf8640363d1,75.5,87.3,6.6e-138,430.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Mn_transport,ff5ae59a98c602b54710295c1571710f5c0c1334f7cd81b22d40bb13cae3a266,50.0,90.6,6.44e-93,298.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Nox,0be76acff1d03cb855968387feff33880e4c3c30ed1611188ef85f90e382e156,99.8,100.0,0.0,896.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,uvrA,b0bcfe00dfb0394c9234e3dcf06b31ecf3af510d8088a7f5dc7995e3a99296ab,72.1,99.3,0.0,1065.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,uvrB,cd8ce439e5e0773e71067145054051d9edbb607ab99279e3a07771507195a791,100.0,100.0,0.0,1367.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,uvrC,49100507bfe018392aeabafe6aa1bad5f4d9331d8f417710122cd12e8d8cb58a,100.0,100.0,0.0,1210.0,1,multiquery_tblastn_querybound_v2
L. rhamnosus,GCF_001063655.1,0,Spx,717b1d41af9f6ee3ec2e96fbd79d0bbb24c7955a45d5081a57840687e0d30263,44.4,94.0,1.36e-32,117.0,1,multiquery_tblastn_querybound_v2
