species,accession,is_focal,spx_bitscore,mgsr_bitscore,spx_score_per_aa,mgsr_score_per_aa,true_spx,method
L. delbrueckii,GCF_019583415.1,False,120.0,242.0,0.8955223880597015,2.0508474576271185,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600185.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600205.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600245.1,False,73.2,243.0,0.5462686567164179,2.059322033898305,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600265.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600345.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600365.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600385.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600405.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600425.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600445.1,False,120.0,241.0,0.8955223880597015,2.042372881355932,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600465.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600485.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600505.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600525.1,False,120.0,241.0,0.8955223880597015,2.042372881355932,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600545.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600565.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600585.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600605.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600625.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_021600645.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,IAHAHI,True,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. plantarum,GCF_000687495.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_000731855.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_000743895.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_000764285.1,False,281.0,55.8,2.0970149253731343,0.4728813559322034,1,provisional normalized competitive hit
L. plantarum,GCF_000931425.2,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_000956195.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_000966475.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001005695.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001005805.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001010175.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001267905.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001278015.1,False,279.0,60.8,2.082089552238806,0.5152542372881356,1,provisional normalized competitive hit
L. plantarum,GCF_001296095.1,False,279.0,58.9,2.082089552238806,0.49915254237288137,1,provisional normalized competitive hit
L. plantarum,GCF_001302645.1,False,279.0,58.5,2.082089552238806,0.4957627118644068,1,provisional normalized competitive hit
L. plantarum,GCF_001308305.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001331925.2,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001368775.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001436855.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001444495.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001484005.1,False,281.0,60.1,2.0970149253731343,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001540925.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001540965.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001581895.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001595615.1,False,279.0,60.8,2.082089552238806,0.5152542372881356,1,provisional normalized competitive hit
L. plantarum,GCF_001596095.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001596195.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001597605.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001617525.2,False,281.0,60.1,2.0970149253731343,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_001619265.1,False,281.0,60.1,2.0970149253731343,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,GCF_009913655.1,False,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
L. plantarum,ZPZ,True,279.0,60.1,2.082089552238806,0.5093220338983051,1,provisional normalized competitive hit
