species,accession,is_focal,rex_call,rex_locus,rex_identity,rex_coverage,rex_evidence,fur_call,fur_best_class,fur_locus,fur_identity,fur_coverage,fur_margin,fur_evidence,spx_call,spx_best_class,spx_locus,spx_identity,spx_coverage,spx_margin,spx_evidence,ohrr_call,ohrr_locus,ohrr_identity,ohrr_coverage,ohrr_neighbourhood,ohrr_evidence
L. rhamnosus,GCF_001064515.1,False,1.0,P1DA4CE057_00007,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1DA4CE057_02074,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1DA4CE057_01521,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1DA4CE057_01827,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :IS3 family transposase IS1223 | :IS3 family transposase IS1223,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001064785.1,False,1.0,P1DBA768DD_01059,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1DBA768DD_01793,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1DBA768DD_00260,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1DBA768DD_01569,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001065365.1,False,1.0,P1A53E6462_01313,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1A53E6462_01967,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P1A53E6462_02610,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1A53E6462_01036,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001066715.1,False,1.0,P1533AFABF_01557,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1533AFABF_00599,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P1533AFABF_01122,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1533AFABF_01272,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001066975.1,False,1.0,P1D59ECC33_00546,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1D59ECC33_01660,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1D59ECC33_02502,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1D59ECC33_01547,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001067025.1,False,1.0,P15A3E6823_01024,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P15A3E6823_02297,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P15A3E6823_01593,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P15A3E6823_00582,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001067215.1,False,1.0,P1601BE6BB_02771,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1601BE6BB_00879,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P1601BE6BB_01425,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1601BE6BB_02203,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001067335.1,False,1.0,P1BE2BE006_01227,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1BE2BE006_01689,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1BE2BE006_00198,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1BE2BE006_01757,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | valS:Valine--tRNA ligase | fpgS:Folylpolyglutamate synthase,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001067625.1,False,1.0,P147A27C4F_01780,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P147A27C4F_00346,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P147A27C4F_00466,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P147A27C4F_02470,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :hypothetical protein | :hypothetical protein,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001067885.1,False,1.0,P151F474FB_02417,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P151F474FB_00320,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P151F474FB_00512,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P151F474FB_00810,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001068015.1,False,1.0,P1B19F2376_02189,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1B19F2376_01586,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1B19F2376_01298,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1B19F2376_00417,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001068045.1,False,1.0,P111B83C9A_02259,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P111B83C9A_01138,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P111B83C9A_02301,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P111B83C9A_01384,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001068195.1,False,1.0,P1D77051E1_00185,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1D77051E1_01323,54.815,93.10344827586206,2.030706075533662,resolved_as_PerR,1.0,Spx,P1D77051E1_01980,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1D77051E1_02204,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001068215.1,False,1.0,P19F238945_00491,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P19F238945_00094,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P19F238945_02500,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P19F238945_00747,39.706,92.51700680272108,:hypothetical protein | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001368735.1,False,1.0,P154B398B8_01445,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P154B398B8_00001,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P154B398B8_01875,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P154B398B8_02701,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001590655.1,False,1.0,P13219A3CF_01907,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P13219A3CF_00609,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P13219A3CF_01469,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,,P13219A3CF_00700,46.575,49.65986394557823,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | :hypothetical protein | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg),unresolved_OhrR_without_context
L. rhamnosus,GCF_001645615.1,False,1.0,P1FA483F68_02386,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1FA483F68_02815,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1FA483F68_01128,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,1.0,P1FA483F68_00296,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP_1:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001656535.1,False,1.0,P140B7C728_00905,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P140B7C728_02539,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P140B7C728_01701,69.291,96.9465648854962,1.657442748091603,resolved_positive_competitive_blastp,1.0,P140B7C728_00776,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_001656545.1,False,1.0,P161202A4A_00601,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P161202A4A_02590,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P161202A4A_01648,69.291,96.9465648854962,1.657442748091603,resolved_positive_competitive_blastp,1.0,P161202A4A_00688,39.706,92.51700680272108,cggR:Central glycolytic genes regulator | :tRNA-Arg(ccg) | clpP:ATP-dependent Clp protease proteolytic subunit | ohrR:Organic hydroperoxide resistance transcriptional regulator | whiA:putative cell division protein WhiA | :Putative gluconeogenesis factor | yvcJ:Nucleotide-binding protein YvcJ,resolved_OhrR_sequence_and_context
L. rhamnosus,GCF_900636965.1,False,1.0,P1439660B3_02174,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P1439660B3_00811,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P1439660B3_01732,68.702,100.0,1.6768222657569407,resolved_positive_competitive_blastp,,P1439660B3_00959,46.575,49.65986394557823,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | :hypothetical protein | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg),unresolved_OhrR_without_context
L. rhamnosus,Vahe,True,1.0,P128F6B855_02193,60.68,95.81395348837208,resolved_positive_competitive_blastp,0.0,PerR,P128F6B855_02676,55.556,93.10344827586206,2.0165322744033394,resolved_as_PerR,1.0,Spx,P128F6B855_00864,64.602,86.25954198473282,1.729136289561712,resolved_positive_competitive_blastp,1.0,P128F6B855_00226,39.706,92.51700680272108,yvcJ:Nucleotide-binding protein YvcJ | :Putative gluconeogenesis factor | whiA:putative cell division protein WhiA | ohrR:Organic hydroperoxide resistance transcriptional regulator | clpP:ATP-dependent Clp protease proteolytic subunit | :tRNA-Arg(ccg) | cggR:Central glycolytic genes regulator,resolved_OhrR_sequence_and_context
L. delbrueckii,GCF_000056065.1,False,1.0,P1C9D0E2BB_01473,59.204,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1C9D0E2BB_00525,61.069,100.0,1.4676230586996577,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_002847905.1,False,1.0,P1199DA56E_01125,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1199DA56E_00089,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_003545935.1,False,1.0,P180F2F41B_01395,59.204,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P180F2F41B_00526,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_004211505.1,False,1.0,P1E320B92A_01248,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1E320B92A_00329,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_004211735.1,False,1.0,P10A1A4009_01365,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P10A1A4009_00503,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_009362855.1,False,1.0,P1B9EE4705_01349,59.204,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1B9EE4705_00900,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_009734125.1,False,1.0,P15C89E528_01547,59.204,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P15C89E528_00490,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_014830125.1,False,1.0,P1B7C3677B_01990,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1B7C3677B_00388,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_015377785.1,False,1.0,P1F321648C_01480,59.204,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1F321648C_00521,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_019583415.1,False,1.0,P1ED082011_00033,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1ED082011_01450,61.832,100.0,1.4759147143985258,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600185.1,False,1.0,P18BC257B8_00729,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P18BC257B8_01318,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600205.1,False,1.0,P1AADCD77A_00707,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1AADCD77A_01809,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600245.1,False,1.0,P1674D5D23_00869,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,0.0,MgsR,P1674D5D23_00668,29.245,84.12698412698413,1.3524874596303167,resolved_as_MgsR,0.0,,,,,not_detected
L. delbrueckii,GCF_021600265.1,False,1.0,P167AF6898_00719,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P167AF6898_01440,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600345.1,False,1.0,P1076AAC6D_01008,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1076AAC6D_00082,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600365.1,False,1.0,P137991B6B_00680,58.706,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P137991B6B_00434,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600385.1,False,1.0,P10F83B89A_00190,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P10F83B89A_01371,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600405.1,False,1.0,P1E985E39A_00342,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1E985E39A_01818,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600425.1,False,1.0,P13B098BB0_00627,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P13B098BB0_00885,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600445.1,False,1.0,P1423E6FF5_01349,58.706,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P1423E6FF5_00045,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
L. delbrueckii,GCF_021600465.1,False,1.0,P13A2CDAB3_00426,59.701,93.48837209302326,resolved_positive_competitive_blastp,0.0,,,,,,not_detected,1.0,Spx,P13A2CDAB3_00831,61.832,100.0,1.471520845566647,resolved_positive_competitive_blastp,0.0,,,,,not_detected
