species,canonical_symbol,gene_family,n_clusters,n_sequences,omega_full,omega_derep,omega_delta,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,valid_pair_fraction,representatives_with_sequence,species_input_sha256,representative_set_sha256,method_version
L. plantarum,reco,recO,20,20,0.0627,0.0553714110454218,-0.0073285889545781,0.0567010533718318,0.0210185445649304,0.1001045038615719,190,30,160,0.8421052631578947,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,reco,recO,15,15,0.0738,0.0649196454637018,-0.0088803545362982,0.0641755323461444,0.0415934629327346,0.0956412117865024,105,13,92,0.8761904761904762,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,recr,recR,26,26,0.0833,0.0777079511730326,-0.0055920488269673,0.0771333213369576,0.0525455118458774,0.103031779593452,325,13,312,0.96,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,recr,recR,20,20,0.0,0.0,0.0,0.0,0.0,0.0,190,17,173,0.9105263157894736,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,recr,recR,15,15,0.0425,0.0157588953018084,-0.0267411046981915,0.0157620915139608,0.0,0.0564273079869778,105,24,81,0.7714285714285715,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,ruva,ruvA,26,26,0.1915,0.1898241726667101,-0.0016758273332899,0.1932334499654313,0.1306501279740479,0.2679478681962808,325,82,243,0.7476923076923077,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,ruva,ruvA,20,20,0.0456,0.0704546295033023,0.0248546295033023,0.0674249094239398,0.0,0.1728906528721446,190,68,122,0.6421052631578947,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,ruva,ruvA,15,15,0.0058,0.0100087363505356,0.0042087363505356,0.0100430630962998,0.0,0.0327679471882803,105,21,84,0.8,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,ruvb,ruvB_1,26,26,0.1171,0.1091816570978014,-0.0079183429021985,0.1088175990157008,0.069774029195369,0.1530504574937641,325,11,314,0.966153846153846,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,ruvb,ruvB_1,20,20,0.061,0.0639439152474877,0.0029439152474877,0.0632560958870586,0.0295400191349109,0.1073104206507868,190,10,180,0.9473684210526316,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,ruvb,ruvB_2,15,15,0.0062,0.0051178591734581,-0.0010821408265418,0.0051483031636025,0.0,0.0090910500757845,105,21,84,0.8,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,ssb,ssb,26,26,0.1396,0.1451027070401474,0.0055027070401474,0.1454477751159977,0.0891173432323549,0.2120340518270835,325,28,297,0.913846153846154,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,ssb,ssbA_2~~~ssbA,20,20,0.078,0.0769275515104558,-0.0010724484895441,0.0769185481227524,0.0,0.1023870635824196,190,122,68,0.3578947368421052,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,ssb,ssb_1~~~ssb_2,15,15,0.063,0.0661978639906574,0.0031978639906574,0.0648979688840546,0.0252943686358895,0.1076944034555693,105,14,91,0.8666666666666667,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,uvra,uvrA,26,26,0.1087,0.1141573909690236,0.0054573909690236,0.1137116278817201,0.0977763105628236,0.1311086078333201,325,4,321,0.9876923076923076,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,uvra,uvrA_1,20,20,0.0145,0.0131136588011475,-0.0013863411988524,0.0126175679173847,0.0,0.0267640638823732,190,6,184,0.968421052631579,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,uvra,uvrA_1,15,15,0.0178,0.0155845213546856,-0.0022154786453143,0.0155729384604861,0.0112439235679976,0.0201694170004377,105,13,92,0.8761904761904762,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. delbrueckii,uvrb,uvrB_1~~~uvrB_2,26,26,0.1558,0.1572654652130173,0.0014654652130173,0.1556843992778399,0.1168527840727856,0.2053872769028946,325,2,323,0.9938461538461538,GCF_000056065.1;GCF_003545935.1;GCF_004211505.1;GCF_004211735.1;GCF_009362855.1;GCF_009734125.1;GCF_014830125.1;GCF_019583415.1;GCF_021600185.1;GCF_021600205.1;GCF_021600245.1;GCF_021600265.1;GCF_021600345.1;GCF_021600365.1;GCF_021600385.1;GCF_021600405.1;GCF_021600425.1;GCF_021600445.1;GCF_021600465.1;GCF_021600485.1;GCF_021600505.1;GCF_021600545.1;GCF_021600565.1;GCF_021600605.1;GCF_021600645.1;IAHAHI,b1210d126c40790bfe1b4f63f347d707533e58266d92f6fdf40cc9b577104f98,52cd03a85a3594efbe4590229f37e472ad994804af36263d4244f1d893a552fc,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. plantarum,uvrb,uvrB,20,20,0.006,0.008388992526496,0.002388992526496,0.0082484146945955,0.0,0.0185365502917017,190,3,187,0.9842105263157894,GCF_000687495.1;GCF_000731855.1;GCF_000743895.1;GCF_000931425.2;GCF_000966475.1;GCF_001005695.1;GCF_001267905.1;GCF_001278015.1;GCF_001296095.1;GCF_001302645.1;GCF_001331925.2;GCF_001368775.1;GCF_001540965.1;GCF_001581895.1;GCF_001595615.1;GCF_001596095.1;GCF_001596195.1;GCF_001619265.1;GCF_009913655.1;ZPZ,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,10e13f63e59e8f0a0cd2b497fed8f30f632f156aa4727841c484c70f37c9cdd3,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
L. rhamnosus,uvrb,uvrB,15,15,0.003,0.0042760719423862,0.0012760719423862,0.0041847321727971,0.0009778440087348,0.009334381024439,105,11,94,0.8952380952380953,GCF_000743075.1;GCF_000814485.1;GCF_000932035.1;GCF_001005625.1;GCF_001044025.1;GCF_001044415.1;GCF_001062885.1;GCF_001062955.1;GCF_001064515.1;GCF_001067025.1;GCF_001068015.1;GCF_001068215.1;GCF_001368735.1;GCF_001590655.1;GCF_001645615.1,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,7b0c4175154da3a43767d58383f21d9b57f8224346a1e54921088ab1a30a116b,ng86_singlecopy_genomebootstrap_v3_cohortbound__ANI995_QCrep_v1
