species,canonical_symbol,gene_family,n_sequences,n_pairs_successful,n_dS0,n_valid,mean_dN,median_dN,mean_dS,median_dS,omega_recomputed,omega_reported,omega_abs_delta,diagnostic_status,diagnostic_detail,species_input_sha256,method_version
L. plantarum,ssb,ssbA_2~~~ssbA,31,465,285,180,0.0013750256008092,0.0021474603075113,0.0176239209382987,0.0233179403025233,0.0780204135971306,0.078,2.0413597130675143e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,uvra,uvrA_1,31,465,28,437,0.000207734724282,0.0,0.0143494215988033,0.0137758974985404,0.014476870921359,0.0145,2.3129078640977616e-05,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. plantarum,uvrb,uvrB,31,465,22,443,0.0001299937747637,0.0,0.0216663208389377,0.0208668791994743,0.0059998084460259,0.006,1.915539740516073e-07,ok,same joint dN/dS mask as the primary estimator,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,liga,ligA~~~ligA_1,31,465,99,366,0.0016725624222053,0.0019394472611299,0.065060267145241,0.0662682453670824,0.0257078935515506,0.0257,7.893551550657713e-06,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,muts,mutS_2,31,465,60,405,0.0002085361934731,0.0,0.0940898022629626,0.0978343468410394,0.0022163527657364,0.0022,1.6352765736487532e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,recn,recN,31,465,63,402,0.0022287967297932,0.0022695768170397,0.0770259026916386,0.0752370449791859,0.0289356781538265,0.0289,3.5678153826539105e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,reco,recO,31,465,94,371,0.0067327010099475,0.0063660859671105,0.0911935814143528,0.0998539840142553,0.0738286719912496,0.0738,2.867199124963193e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,recr,recR,31,465,153,312,0.0009012262915327,0.0,0.021206694120476,0.0150758844908154,0.0424972551786181,0.0425,2.7448213818712097e-06,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,ruva,ruvA,31,465,119,346,0.0001945276062186,0.0,0.0333787034860426,0.0275260251378209,0.0058278958108731,0.0058,2.789581087315595e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,ruvb,ruvB_2,31,465,119,346,0.0006517619171009,0.0012523484437721,0.1058461402433656,0.0864264476831883,0.0061576351825621,0.0062,4.2364817437852247e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,ssb,ssb_1~~~ssb_2,31,465,97,368,0.0025783958455725,0.0030456894647363,0.0408958173159426,0.0410358753066575,0.063047910881766,0.063,4.79108817660473e-05,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,uvra,uvrA_1,31,465,98,367,0.0017464674555127,0.0018121422286275,0.0980799820889669,0.0978712545239957,0.0178065637688289,0.0178,6.563768828963396e-06,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
L. rhamnosus,uvrb,uvrB,31,465,93,372,0.0002465156231114,0.0,0.0820553676332369,0.0787373144622212,0.0030042595654844,0.003,4.259565484459986e-06,ok,same joint dN/dS mask as the primary estimator,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound__curated_ds_v1
